,period,stateDescription,sectorName,price,price-units
0,2023-12,Hawaii,transportation,0.0,cents per kilowatt-hour
3,2023-12,Idaho,industrial,6.21,cents per kilowatt-hour
5,2023-12,Idaho,residential,11.53,cents per kilowatt-hour
6,2023-12,Idaho,transportation,0.0,cents per kilowatt-hour
9,2023-12,Illinois,industrial,8.1,cents per kilowatt-hour
11,2023-12,Illinois,residential,14.84,cents per kilowatt-hour
12,2023-12,Illinois,transportation,7.29,cents per kilowatt-hour
15,2023-12,Indiana,industrial,7.87,cents per kilowatt-hour
17,2023-12,Indiana,residential,14.58,cents per kilowatt-hour
18,2023-12,Indiana,transportation,11.56,cents per kilowatt-hour
21,2023-12,Iowa,industrial,5.97,cents per kilowatt-hour
23,2023-12,Iowa,residential,11.95,cents per kilowatt-hour
24,2023-12,Iowa,transportation,0.0,cents per kilowatt-hour
27,2023-12,Kansas,industrial,7.14,cents per kilowatt-hour
29,2023-12,Kansas,residential,12.72,cents per kilowatt-hour
30,2023-12,Kansas,transportation,0.0,cents per kilowatt-hour
33,2023-12,Kentucky,industrial,6.36,cents per kilowatt-hour
35,2023-12,Kentucky,residential,12.34,cents per kilowatt-hour
36,2023-12,Kentucky,transportation,0.0,cents per kilowatt-hour
39,2023-12,Louisiana,industrial,5.84,cents per kilowatt-hour
41,2023-12,Louisiana,residential,11.21,cents per kilowatt-hour
42,2023-12,Louisiana,transportation,11.22,cents per kilowatt-hour
45,2023-12,Maine,industrial,13.7,cents per kilowatt-hour
47,2023-12,Maine,residential,27.99,cents per kilowatt-hour
48,2023-12,Maine,transportation,0.0,cents per kilowatt-hour
51,2023-12,Maryland,industrial,10.17,cents per kilowatt-hour
53,2023-12,Maryland,residential,17.46,cents per kilowatt-hour
54,2023-10,Wyoming,industrial,7.47,cents per kilowatt-hour
56,2023-10,Wyoming,residential,12.49,cents per kilowatt-hour
57,2023-10,Wyoming,transportation,0.0,cents per kilowatt-hour
60,2023-10,New England,industrial,15.77,cents per kilowatt-hour
62,2023-10,New England,residential,28.05,cents per kilowatt-hour
63,2023-10,New England,transportation,10.94,cents per kilowatt-hour
66,2023-10,Middle Atlantic,industrial,7.72,cents per kilowatt-hour
68,2023-10,Middle Atlantic,residential,19.67,cents per kilowatt-hour
69,2023-10,Middle Atlantic,transportation,14.21,cents per kilowatt-hour
72,2023-10,East North Central,industrial,7.86,cents per kilowatt-hour
74,2023-10,East North Central,residential,16.51,cents per kilowatt-hour
75,2023-10,East North Central,transportation,7.35,cents per kilowatt-hour
78,2023-10,West North Central,industrial,7.4,cents per kilowatt-hour
80,2023-10,West North Central,residential,13.22,cents per kilowatt-hour
81,2023-10,West North Central,transportation,12.44,cents per kilowatt-hour
84,2023-10,South Atlantic,industrial,7.45,cents per kilowatt-hour
86,2023-10,South Atlantic,residential,15.0,cents per kilowatt-hour
87,2023-10,South Atlantic,transportation,10.25,cents per kilowatt-hour
90,2023-10,East South Central,industrial,6.7,cents per kilowatt-hour
92,2023-10,East South Central,residential,13.48,cents per kilowatt-hour
93,2023-10,East South Central,transportation,0.0,cents per kilowatt-hour
96,2023-10,West South Central,industrial,6.38,cents per kilowatt-hour
98,2023-10,West South Central,residential,14.18,cents per kilowatt-hour
99,2023-10,West South Central,transportation,7.34,cents per kilowatt-hour
102,2023-10,Mountain,industrial,7.52,cents per kilowatt-hour
104,2023-09,Louisiana,industrial,5.35,cents per kilowatt-hour
106,2023-09,Louisiana,residential,11.42,cents per kilowatt-hour
107,2023-09,Louisiana,transportation,10.52,cents per kilowatt-hour
110,2023-09,Maine,industrial,12.47,cents per kilowatt-hour
112,2023-09,Maine,residential,26.79,cents per kilowatt-hour
113,2023-09,Maine,transportation,0.0,cents per kilowatt-hour
116,2023-09,Maryland,industrial,9.82,cents per kilowatt-hour
118,2023-09,Maryland,residential,16.95,cents per kilowatt-hour
119,2023-09,Maryland,transportation,11.44,cents per kilowatt-hour
122,2023-09,Massachusetts,industrial,17.44,cents per kilowatt-hour
124,2023-09,Massachusetts,residential,28.18,cents per kilowatt-hour
125,2023-09,Massachusetts,transportation,6.79,cents per kilowatt-hour
128,2023-09,Michigan,industrial,8.18,cents per kilowatt-hour
130,2023-09,Michigan,residential,19.49,cents per kilowatt-hour
131,2023-09,Michigan,transportation,13.71,cents per kilowatt-hour
134,2023-09,Minnesota,industrial,9.7,cents per kilowatt-hour
136,2023-09,Minnesota,residential,15.44,cents per kilowatt-hour
137,2023-09,Minnesota,transportation,12.53,cents per kilowatt-hour
140,2023-01,New Jersey,industrial,11.94,cents per kilowatt-hour
142,2023-01,New Jersey,residential,16.89,cents per kilowatt-hour
143,2023-01,New Jersey,transportation,14.36,cents per kilowatt-hour
144,2023-11,Middle Atlantic,transportation,14.82,cents per kilowatt-hour
147,2023-11,East North Central,industrial,7.78,cents per kilowatt-hour
149,2023-11,East North Central,residential,16.18,cents per kilowatt-hour
150,2023-11,East North Central,transportation,5.94,cents per kilowatt-hour
153,2023-11,West North Central,industrial,7.28,cents per kilowatt-hour
155,2023-11,West North Central,residential,12.67,cents per kilowatt-hour
156,2023-11,West North Central,transportation,10.47,cents per kilowatt-hour
159,2023-11,South Atlantic,industrial,7.44,cents per kilowatt-hour
161,2023-11,South Atlantic,residential,14.54,cents per kilowatt-hour
162,2023-11,South Atlantic,transportation,10.21,cents per kilowatt-hour
165,2023-11,East South Central,industrial,6.7,cents per kilowatt-hour
167,2023-11,East South Central,residential,13.53,cents per kilowatt-hour
168,2023-11,East South Central,transportation,0.0,cents per kilowatt-hour
171,2023-01,New Mexico,industrial,5.75,cents per kilowatt-hour
173,2023-01,New Mexico,residential,13.27,cents per kilowatt-hour
174,2023-01,New Mexico,transportation,0.0,cents per kilowatt-hour
177,2023-01,New York,industrial,7.49,cents per kilowatt-hour
179,2023-01,New York,residential,23.62,cents per kilowatt-hour
180,2023-01,New York,transportation,14.75,cents per kilowatt-hour
183,2023-01,North Carolina,industrial,7.34,cents per kilowatt-hour
185,2023-01,North Carolina,residential,12.37,cents per kilowatt-hour
186,2023-01,North Carolina,transportation,7.69,cents per kilowatt-hour
189,2023-01,North Dakota,industrial,7.39,cents per kilowatt-hour
192,2023-11,West South Central,industrial,6.05,cents per kilowatt-hour
194,2023-11,West South Central,residential,13.86,cents per kilowatt-hour
195,2023-11,West South Central,transportation,7.77,cents per kilowatt-hour
198,2023-11,Mountain,industrial,7.54,cents per kilowatt-hour
200,2023-11,Mountain,residential,13.85,cents per kilowatt-hour
201,2023-11,Mountain,transportation,12.57,cents per kilowatt-hour
204,2023-11,Pacific Contiguous,industrial,13.08,cents per kilowatt-hour
206,2023-11,Pacific Contiguous,residential,21.57,cents per kilowatt-hour
207,2023-11,Pacific Contiguous,transportation,13.17,cents per kilowatt-hour
210,2023-11,Pacific Noncontiguous,industrial,31.87,cents per kilowatt-hour
212,2023-11,Pacific Noncontiguous,residential,35.06,cents per kilowatt-hour
213,2023-11,Pacific Noncontiguous,transportation,0.0,cents per kilowatt-hour
216,2023-11,U.S. Total,industrial,7.79,cents per kilowatt-hour
218,2023-11,U.S. Total,residential,16.19,cents per kilowatt-hour
219,2023-11,U.S. Total,transportation,12.6,cents per kilowatt-hour
221,2023-05,Arizona,industrial,8.01,cents per kilowatt-hour
223,2023-05,Arizona,residential,14.3,cents per kilowatt-hour
224,2023-05,Arizona,transportation,10.45,cents per kilowatt-hour
227,2023-05,Arkansas,industrial,6.3,cents per kilowatt-hour
229,2023-05,Arkansas,residential,12.32,cents per kilowatt-hour
230,2023-05,Arkansas,transportation,15.12,cents per kilowatt-hour
233,2023-05,California,industrial,17.7,cents per kilowatt-hour
235,2023-05,California,residential,29.82,cents per kilowatt-hour
236,2023-05,California,transportation,13.12,cents per kilowatt-hour
239,2023-05,Colorado,industrial,8.46,cents per kilowatt-hour
241,2023-05,Colorado,residential,14.34,cents per kilowatt-hour
242,2023-05,Colorado,transportation,11.3,cents per kilowatt-hour
247,2023-06,Maine,industrial,11.58,cents per kilowatt-hour
249,2023-06,Maine,residential,27.56,cents per kilowatt-hour
250,2023-06,Maine,transportation,0.0,cents per kilowatt-hour
253,2023-06,Maryland,industrial,9.57,cents per kilowatt-hour
255,2023-06,Maryland,residential,17.0,cents per kilowatt-hour
256,2023-06,Maryland,transportation,11.16,cents per kilowatt-hour
259,2023-06,Massachusetts,industrial,17.5,cents per kilowatt-hour
261,2023-06,Massachusetts,residential,27.52,cents per kilowatt-hour
262,2023-06,Massachusetts,transportation,7.28,cents per kilowatt-hour
265,2023-06,Michigan,industrial,8.19,cents per kilowatt-hour
267,2023-06,Michigan,residential,19.38,cents per kilowatt-hour
268,2023-06,Michigan,transportation,13.85,cents per kilowatt-hour
271,2023-06,Minnesota,industrial,9.9,cents per kilowatt-hour
273,2023-06,Minnesota,residential,15.68,cents per kilowatt-hour
274,2023-06,Minnesota,transportation,13.9,cents per kilowatt-hour
277,2023-06,Mississippi,industrial,6.9,cents per kilowatt-hour
279,2023-05,Connecticut,industrial,14.61,cents per kilowatt-hour
281,2023-05,Connecticut,residential,31.36,cents per kilowatt-hour
282,2023-05,Connecticut,transportation,16.12,cents per kilowatt-hour
285,2023-05,Delaware,industrial,6.99,cents per kilowatt-hour
287,2023-05,Delaware,residential,16.62,cents per kilowatt-hour
288,2023-05,Delaware,transportation,0.0,cents per kilowatt-hour
291,2023-05,District of Columbia,industrial,11.06,cents per kilowatt-hour
293,2023-05,District of Columbia,residential,17.09,cents per kilowatt-hour
294,2023-05,District of Columbia,transportation,10.39,cents per kilowatt-hour
297,2023-05,Florida,industrial,9.13,cents per kilowatt-hour
299,2023-05,Florida,residential,15.09,cents per kilowatt-hour
300,2023-05,Florida,transportation,11.49,cents per kilowatt-hour
302,2023-06,Mississippi,residential,13.27,cents per kilowatt-hour
303,2023-06,Mississippi,transportation,0.0,cents per kilowatt-hour
306,2023-06,Missouri,industrial,8.58,cents per kilowatt-hour
308,2023-06,Missouri,residential,14.1,cents per kilowatt-hour
309,2023-06,Missouri,transportation,9.7,cents per kilowatt-hour
312,2023-06,Montana,industrial,6.59,cents per kilowatt-hour
314,2023-06,Montana,residential,13.16,cents per kilowatt-hour
315,2023-06,Montana,transportation,0.0,cents per kilowatt-hour
318,2023-06,Nebraska,industrial,8.12,cents per kilowatt-hour
320,2023-10,Mountain,residential,13.86,cents per kilowatt-hour
321,2023-10,Mountain,transportation,12.92,cents per kilowatt-hour
322,2024-01,Indiana,residential,14.0,cents per kilowatt-hour
323,2024-01,Indiana,transportation,11.86,cents per kilowatt-hour
326,2024-01,Iowa,industrial,6.48,cents per kilowatt-hour
328,2024-01,Iowa,residential,11.85,cents per kilowatt-hour
329,2024-01,Iowa,transportation,0.0,cents per kilowatt-hour
332,2024-01,Kansas,industrial,8.1,cents per kilowatt-hour
334,2024-01,Kansas,residential,13.04,cents per kilowatt-hour
335,2024-01,Kansas,transportation,0.0,cents per kilowatt-hour
